"=""1s.1s""","=""1S""","=""0""","=""[""","=""0.00000000""","=""]""","=""0.00000015""","=""L22715"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""19.819614525""","=""]""","=""0.000000005""","=""L22715c200,L20736"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""20.615774823""","=""]""","=""0.000000008""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""20.96408688908""","=""]""","=""0.000000003""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""20.96409636464""","=""]""","=""0.000000003""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""20.96421885051""","=""]""","=""0.000000003""","=""L22715c200,L20736"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""21.2180227112""","=""]""","=""0.0000000016""","=""L22715c200,L20736"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""22.718466419""","=""]""","=""0.000000008""","=""L22715c200"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""22.920317359""","=""]""","=""0.000000004""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""23.00707314571""","=""]""","=""0.00000000004""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""23.0070758719""","=""]""","=""0.0000000004""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""23.0071094335""","=""]""","=""0.0000000004""","=""L22715c200"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""23.07365070854""","=""]""","=""0.00000000010""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""23.07365101981""","=""]""","=""0.00000000010""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""23.07365649967""","=""]""","=""0.00000000010""","=""L22715c200,L21466"""
"=""1s.3d""","=""1D""","=""2""","=""[""","=""23.07407479777""","=""]""","=""0.00000000008""","=""L22715c200,L21466"""
"=""1s.3p""","=""1P*""","=""1""","=""[""","=""23.08701852960""","=""]""","=""0.00000000021""","=""L22715c200"""
"=""1s.4s""","=""3S""","=""1""","=""[""","=""23.593958713""","=""]""","=""0.000000003""","=""L22715c200"""
"=""1s.4s""","=""1S""","=""0""","=""[""","=""23.673570590""","=""]""","=""0.000000003""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""2""","=""[""","=""23.7078912279""","=""]""","=""0.0000000008""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""1""","=""[""","=""23.7078923433""","=""]""","=""0.0000000008""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""0""","=""[""","=""23.7079060221""","=""]""","=""0.0000000008""","=""L22715c200"""
"=""1s.4d""","=""3D""","=""3""","=""[""","=""23.73609019010""","=""]""","=""0.00000000005""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""2""","=""[""","=""23.73609033897""","=""]""","=""0.00000000005""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""1""","=""[""","=""23.73609263507""","=""]""","=""0.00000000005""","=""L22715c200,L21466"""
"=""1s.4d""","=""1D""","=""2""","=""[""","=""23.73633503536""","=""]""","=""0.00000000004""","=""L22715c200,L21466"""
"=""1s.4f""","=""3F*""","=""3""","=""[""","=""23.737006806968""","=""]""","=""0.000000000008""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""4""","=""[""","=""23.737007692183""","=""]""","=""0.000000000006""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""2""","=""[""","=""23.737008760725""","=""]""","=""0.000000000008""","=""L22715c200"""
"=""1s.4f""","=""1F*""","=""3""","=""[""","=""23.737009722091""","=""]""","=""0.000000000006""","=""L22715c200"""
"=""1s.4p""","=""1P*""","=""1""","=""[""","=""23.74207006880""","=""]""","=""0.00000000016""","=""L22715c200"""
"=""1s.5s""","=""3S""","=""1""","=""[""","=""23.9719714182""","=""]""","=""0.0000000016""","=""L22715c200"""
"=""1s.5s""","=""1S""","=""0""","=""[""","=""24.0112149898""","=""]""","=""0.0000000012""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""2""","=""[""","=""24.0282250640""","=""]""","=""0.0000000005""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""1""","=""[""","=""24.0282256244""","=""]""","=""0.0000000005""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""0""","=""[""","=""24.0282324989""","=""]""","=""0.0000000005""","=""L22715c200"""
"=""1s.5d""","=""3D""","=""3""","=""[""","=""24.042662242088""","=""]""","=""0.000000000025""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""2""","=""[""","=""24.042662321526""","=""]""","=""0.000000000025""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""1""","=""[""","=""24.042663494166""","=""]""","=""0.000000000025""","=""L22715c200,L21466"""
"=""1s.5d""","=""1D""","=""2""","=""[""","=""24.042803412125""","=""]""","=""0.000000000021""","=""L22715c200,L21466"""
"=""1s.5f""","=""3F*""","=""3""","=""[""","=""24.043154084167""","=""]""","=""0.000000000005""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""4""","=""[""","=""24.043154465835""","=""]""","=""0.000000000004""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""2""","=""[""","=""24.043155012649""","=""]""","=""0.000000000005""","=""L22715c200"""
"=""1s.5f""","=""1F*""","=""3""","=""[""","=""24.043155648442""","=""]""","=""0.000000000004""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""4""","=""[""","=""24.0432156651818""","=""]""","=""0.0000000000012""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""5""","=""[""","=""24.0432160086825""","=""]""","=""0.0000000000009""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""3""","=""[""","=""24.0432163209841""","=""]""","=""0.0000000000012""","=""L22715c200"""
"=""1s.5g""","=""1G""","=""4""","=""[""","=""24.0432165311324""","=""]""","=""0.0000000000009""","=""L22715c200"""
"=""1s.5p""","=""1P*""","=""1""","=""[""","=""24.04580040653""","=""]""","=""0.00000000008""","=""L22715c200"""